年月日,平均気温,,
2017/2/19,5.7,8,1
2017/2/20,6.6,8,1
2017/2/21,3.7,8,1
2017/2/22,5.8,8,1
2017/2/23,9.3,8,1
2017/2/24,5.7,8,1
2017/2/25,5.9,8,1
2017/2/26,7.0,8,1
2017/2/27,6.8,8,1
2017/2/28,6.7,8,1
2017/3/1,6.3,8,1
2017/3/2,6.8,8,1
2017/3/3,7.6,8,1
2017/3/4,7.8,8,1
2017/3/5,10.0,8,1
2017/3/6,9.9,8,1
2017/3/7,4.9,8,1
2017/3/8,4.4,8,1
2017/3/9,6.0,8,1
2017/3/10,6.4,8,1
2017/3/11,6.9,8,1
2017/3/12,7.9,8,1
2017/3/13,9.6,8,1
2017/3/14,9.4,8,1
2017/3/15,7.1,8,1
2017/3/16,8.1,8,1
2017/3/17,8.4,8,1
2017/3/18,9.5,8,1
2017/3/19,11.3,8,1
2017/3/20,12.0,8,1
2017/3/21,8.8,8,1
2017/3/22,8.9,8,1
2017/3/23,9.3,8,1
2017/3/24,8.2,8,1
2017/3/25,7.9,8,1
2017/3/26,7.9,8,1
2017/3/27,9.0,8,1
2017/3/28,9.5,8,1
2017/3/29,10.5,8,1
2017/3/30,13.0,8,1
2017/3/31,8.6,8,1
2017/4/1,8.0,8,1
2017/4/2,10.1,8,1
2017/4/3,11.2,8,1
2017/4/4,13.2,8,1
2017/4/5,13.8,8,1
2017/4/6,15.2,8,1
2017/4/7,17.0,8,1
2017/4/8,17.8,8,1
2017/4/9,16.0,8,1
2017/4/10,12.4,8,1
2017/4/11,10.6,8,1
2017/4/12,13.8,8,1
2017/4/13,12.5,8,1
2017/4/14,14.9,8,1
2017/4/15,16.0,8,1
2017/4/16,18.3,8,1
2017/4/17,16.8,8,1
2017/4/18,17.7,8,1
2017/4/19,14.7,8,1
2017/4/20,15.4,8,1
2017/4/21,15.9,8,1
2017/4/22,15.5,8,1
2017/4/23,14.9,8,1
2017/4/24,16.0,8,1
2017/4/25,17.0,8,1
2017/4/26,15.5,8,1
2017/4/27,15.0,8,1
2017/4/28,15.5,8,1
2017/4/29,14.3,8,1
2017/4/30,17.2,8,1
2017/5/1,17.7,8,1
2017/5/2,16.6,8,1
2017/5/3,17.9,8,1
2017/5/4,19.0,8,1
2017/5/5,20.8,8,1
2017/5/6,20.2,8,1
2017/5/7,20.3,8,1
2017/5/8,21.5,8,1
2017/5/9,19.7,8,1
2017/5/10,16.5,8,1
2017/5/11,20.1,8,1
2017/5/12,22.2,8,1
2017/5/13,17.1,8,1
2017/5/14,19.9,8,1
2017/5/15,20.5,8,1
2017/5/16,18.6,8,1
2017/5/17,19.0,8,1
2017/5/18,20.3,8,1
2017/5/19,21.6,8,1
2017/5/20,23.7,8,1
2017/5/21,24.4,8,1
2017/5/22,23.0,8,1
2017/5/23,22.6,8,1
2017/5/24,21.6,8,1
2017/5/25,19.7,8,1
2017/5/26,19.4,8,1
2017/5/27,18.7,8,1
2017/5/28,20.6,8,1
2017/5/29,22.3,8,1
2017/5/30,25.0,8,1
2017/5/31,23.6,8,1
2017/6/1,23.8,8,1
2017/6/2,19.9,8,1
2017/6/3,19.3,8,1
2017/6/4,20.2,8,1
2017/6/5,20.9,8,1
2017/6/6,21.1,8,1
2017/6/7,19.4,8,1
2017/6/8,19.3,8,1
2017/6/9,22.6,8,1
2017/6/10,23.1,8,1
2017/6/11,21.7,8,1
2017/6/12,20.7,8,1
2017/6/13,20.7,8,1
2017/6/14,21.9,8,1
2017/6/15,23.3,8,1
2017/6/16,22.8,8,1
2017/6/17,22.3,8,1
2017/6/18,22.0,8,1
2017/6/19,25.6,8,1
2017/6/20,25.0,8,1
2017/6/21,21.0,8,1
2017/6/22,23.5,8,1
2017/6/23,24.7,8,1
2017/6/24,24.4,8,1
2017/6/25,21.9,8,1
2017/6/26,25.0,8,1
2017/6/27,24.6,8,1
2017/6/28,24.0,8,1
2017/6/29,24.8,8,1
2017/6/30,22.9,8,1
2017/7/1,26.6,8,1
2017/7/2,27.8,8,1
2017/7/3,29.1,8,1
2017/7/4,26.9,8,1
2017/7/5,26.0,8,1
2017/7/6,26.9,8,1
2017/7/7,28.4,8,1
2017/7/8,28.9,8,1
2017/7/9,27.6,8,1
2017/7/10,27.5,8,1
2017/7/11,28.2,8,1
2017/7/12,28.6,8,1
2017/7/13,27.9,8,1
2017/7/14,27.9,8,1
2017/7/15,28.8,8,1
2017/7/16,29.7,8,1
2017/7/17,27.8,8,1
2017/7/18,29.3,8,1
2017/7/19,28.2,8,1
2017/7/20,28.5,8,1
2017/7/21,28.9,8,1
2017/7/22,29.0,8,1
2017/7/23,27.0,8,1
2017/7/24,28.6,8,1
2017/7/25,27.0,8,1
2017/7/26,29.3,8,1
2017/7/27,26.3,8,1
2017/7/28,28.5,8,1
2017/7/29,29.0,8,1
2017/7/30,27.0,8,1
2017/7/31,29.2,8,1
2017/8/1,29.8,8,1
2017/8/2,27.8,8,1
2017/8/3,27.7,8,1
2017/8/4,29.3,8,1
2017/8/5,29.2,8,1
2017/8/6,29.9,8,1
2017/8/7,27.3,8,1
2017/8/8,27.4,8,1
2017/8/9,29.7,8,1
2017/8/10,29.5,8,1
2017/8/11,27.1,8,1
2017/8/12,27.9,8,1
2017/8/13,28.0,8,1
2017/8/14,27.5,8,1
2017/8/15,24.9,8,1
2017/8/16,25.9,8,1
2017/8/17,28.0,8,1
2017/8/18,26.7,8,1
2017/8/19,28.2,8,1
2017/8/20,28.1,8,1
2017/8/21,28.5,8,1
2017/8/22,28.0,8,1
2017/8/23,27.8,8,1
2017/8/24,30.8,8,1
2017/8/25,30.2,8,1
2017/8/26,27.5,8,1
2017/8/27,26.8,8,1
2017/8/28,27.3,8,1
2017/8/29,28.7,8,1
2017/8/30,28.9,8,1
2017/8/31,27.3,8,1
2017/9/1,26.2,8,1
2017/9/2,26.0,8,1
2017/9/3,25.3,8,1
2017/9/4,24.4,8,1
2017/9/5,25.0,8,1
2017/9/6,23.0,8,1
2017/9/7,24.8,8,1
2017/9/8,26.1,8,1
2017/9/9,25.4,8,1
2017/9/10,26.3,8,1
2017/9/11,25.2,8,1
2017/9/12,24.6,8,1
2017/9/13,25.4,8,1
2017/9/14,24.3,8,1
2017/9/15,22.6,8,1
2017/9/16,19.1,8,1
2017/9/17,22.3,8,1
2017/9/18,25.0,8,1
2017/9/19,23.7,8,1
2017/9/20,23.0,8,1
2017/9/21,22.8,8,1
2017/9/22,20.8,8,1
2017/9/23,23.3,8,1
2017/9/24,23.0,8,1
2017/9/25,23.3,8,1
2017/9/26,23.8,8,1
2017/9/27,23.4,8,1
2017/9/28,20.3,8,1
2017/9/29,20.0,8,1
2017/9/30,20.9,8,1
2017/10/1,20.9,8,1
2017/10/2,21.2,8,1
2017/10/3,21.5,8,1
2017/10/4,19.2,8,1
2017/10/5,17.9,8,1
2017/10/6,17.0,8,1
2017/10/7,19.1,8,1
2017/10/8,22.4,8,1
2017/10/9,22.5,8,1
2017/10/10,23.7,8,1
2017/10/11,24.3,8,1
2017/10/12,22.8,8,1
2017/10/13,18.5,8,1
2017/10/14,19.0,8,1
2017/10/15,17.2,8,1
2017/10/16,15.1,8,1
2017/10/17,14.8,8,1
2017/10/18,16.4,8,1
2017/10/19,14.6,8,1
2017/10/20,17.0,8,1
2017/10/21,17.7,8,1
2017/10/22,17.5,8,1
2017/10/23,16.6,8,1
2017/10/24,15.1,8,1
2017/10/25,14.7,8,1
2017/10/26,15.3,8,1
2017/10/27,16.3,8,1
2017/10/28,15.0,8,1
2017/10/29,16.2,8,1
2017/10/30,13.8,8,1
2017/10/31,12.7,8,1
2017/11/1,14.2,8,1
2017/11/2,15.0,8,1
2017/11/3,16.6,8,1
2017/11/4,15.1,8,1
2017/11/5,12.9,8,1
2017/11/6,14.5,8,1
2017/11/7,16.0,8,1
2017/11/8,15.8,8,1
2017/11/9,14.7,8,1
2017/11/10,13.2,8,1
2017/11/11,13.4,8,1
2017/11/12,11.6,8,1
2017/11/13,12.2,8,1
2017/11/14,12.1,8,1
2017/11/15,11.7,8,1
2017/11/16,8.9,8,1
2017/11/17,9.5,8,1
2017/11/18,8.8,8,1
2017/11/19,6.9,8,1
2017/11/20,6.9,8,1
2017/11/21,7.1,8,1
2017/11/22,9.3,8,1
2017/11/23,10.1,8,1
2017/11/24,7.6,8,1
2017/11/25,7.5,8,1
2017/11/26,8.1,8,1
2017/11/27,10.8,8,1
2017/11/28,10.9,8,1
2017/11/29,10.8,8,1
2017/11/30,12.4,8,1
2017/12/1,9.6,8,1
2017/12/2,8.1,8,1
2017/12/3,8.5,8,1
2017/12/4,7.7,8,1
2017/12/5,7.6,8,1
2017/12/6,5.9,8,1
2017/12/7,6.3,8,1
2017/12/8,5.0,8,1
2017/12/9,4.8,8,1
2017/12/10,7.1,8,1
2017/12/11,7.1,8,1
2017/12/12,3.8,8,1
2017/12/13,3.5,8,1
2017/12/14,3.9,8,1
2017/12/15,5.7,8,1
2017/12/16,6.3,8,1
2017/12/17,3.7,8,1
2017/12/18,4.4,8,1
2017/12/19,4.3,8,1
2017/12/20,4.5,8,1
2017/12/21,5.2,8,1
2017/12/22,5.3,8,1
2017/12/23,6.3,8,1
2017/12/24,7.7,8,1
2017/12/25,7.8,8,1
2017/12/26,5.6,8,1
2017/12/27,1.9,8,1
2017/12/28,3.6,8,1
2017/12/29,4.2,8,1
2017/12/30,5.6,8,1
2017/12/31,4.2,8,1
2018/1/1,4.8,8,1
2018/1/2,5.0,8,1
2018/1/3,3.7,8,1
2018/1/4,3.1,8,1
2018/1/5,3.4,8,1
2018/1/6,3.8,8,1
2018/1/7,5.3,8,1
2018/1/8,5.3,8,1
2018/1/9,6.5,8,1
2018/1/10,4.5,8,1
2018/1/11,2.6,8,1
2018/1/12,0.7,8,1
2018/1/13,1.3,8,1
2018/1/14,2.8,8,1
2018/1/15,5.0,8,1
2018/1/16,7.7,8,1
2018/1/17,8.8,8,1
2018/1/18,9.9,8,1
2018/1/19,8.0,8,1
2018/1/20,6.3,8,1
2018/1/21,6.3,8,1
2018/1/22,3.6,8,1
2018/1/23,3.7,8,1
2018/1/24,0.2,8,1
2018/1/25,-1.1,8,1
2018/1/26,-0.5,8,1
2018/1/27,0.3,8,1
2018/1/28,0.0,8,1
2018/1/29,2.6,8,1
2018/1/30,2.1,8,1
2018/1/31,3.1,8,1
2018/2/1,3.8,8,1
2018/2/2,5.0,8,1
2018/2/3,5.1,8,1
2018/2/4,3.6,8,1
2018/2/5,2.1,8,1
2018/2/6,1.1,8,1
2018/2/7,0.8,8,1
2018/2/8,1.5,8,1
2018/2/9,3.0,8,1
2018/2/10,4.3,8,1
2018/2/11,4.4,8,1
2018/2/12,2.3,8,1
2018/2/13,2.4,8,1
2018/2/14,3.9,8,1
2018/2/15,6.8,8,1
2018/2/16,6.4,8,1
2018/2/17,4.0,8,1
2018/2/18,2.5,8,1
2018/2/19,4.4,8,1
2018/2/20,7.1,8,1
2018/2/21,5.7,8,1
2018/2/22,5.3,8,1
2018/2/23,5.9,8,1
2018/2/24,5.9,8,1
2018/2/25,6.6,8,1
2018/2/26,9.1,8,1
2018/2/27,8.3,8,1
2018/2/28,9.9,8,1
2018/3/1,11.9,8,1
2018/3/2,7.0,8,1
2018/3/3,8.6,8,1
2018/3/4,12.3,8,1
2018/3/5,11.8,8,1
2018/3/6,9.0,8,1
2018/3/7,7.6,8,1
2018/3/8,9.5,8,1
2018/3/9,9.6,8,1
2018/3/10,6.4,8,1
2018/3/11,7.3,8,1
2018/3/12,9.3,8,1
2018/3/13,11.4,8,1
2018/3/14,14.7,8,1
2018/3/15,15.8,8,1
2018/3/16,10.4,8,1
2018/3/17,8.0,8,1
2018/3/18,11.4,8,1
2018/3/19,12.8,8,1
2018/3/20,10.0,8,1
2018/3/21,7.3,8,1
2018/3/22,9.7,8,1
2018/3/23,9.3,8,1
2018/3/24,10.8,8,1
2018/3/25,13.4,8,1
2018/3/26,14.5,8,1
2018/3/27,15.2,8,1
2018/3/28,16.7,8,1
2018/3/29,17.1,8,1
2018/3/30,14.1,8,1
2018/3/31,13.4,8,1
2018/4/1,16.0,8,1
2018/4/2,19.0,8,1
2018/4/3,19.8,8,1
2018/4/4,19.2,8,1
2018/4/5,15.2,8,1
2018/4/6,17.2,8,1
2018/4/7,10.7,8,1
2018/4/8,8.3,8,1
2018/4/9,10.2,8,1
2018/4/10,13.5,8,1
2018/4/11,16.5,8,1
2018/4/12,18.0,8,1
2018/4/13,14.5,8,1
2018/4/14,14.5,8,1
2018/4/15,13.0,8,1
2018/4/16,13.6,8,1
2018/4/17,13.3,8,1
2018/4/18,15.7,8,1
2018/4/19,16.8,8,1
2018/4/20,19.6,8,1
2018/4/21,19.8,8,1
2018/4/22,21.1,8,1
2018/4/23,20.2,8,1
2018/4/24,18.4,8,1
2018/4/25,17.9,8,1
2018/4/26,17.7,8,1
2018/4/27,18.9,8,1
2018/4/28,19.1,8,1
2018/4/29,19.4,8,1
2018/4/30,19.0,8,1
2018/5/1,21.5,8,1
2018/5/2,19.4,8,1
2018/5/3,18.9,8,1
2018/5/4,15.6,8,1
2018/5/5,18.3,8,1
2018/5/6,19.5,8,1
2018/5/7,16.8,8,1
2018/5/8,17.5,8,1
2018/5/9,16.4,8,1
2018/5/10,14.8,8,1
2018/5/11,16.7,8,1
2018/5/12,19.2,8,1
2018/5/13,17.7,8,1
2018/5/14,20.9,8,1
2018/5/15,21.9,8,1
2018/5/16,22.5,8,1
2018/5/17,24.1,8,1
2018/5/18,25.6,8,1
2018/5/19,18.0,8,1
2018/5/20,17.2,8,1
2018/5/21,20.1,8,1
2018/5/22,20.3,8,1
2018/5/23,17.7,8,1
2018/5/24,21.3,8,1
2018/5/25,23.0,8,1
2018/5/26,22.8,8,1
2018/5/27,23.7,8,1
2018/5/28,22.4,8,1
2018/5/29,22.7,8,1
2018/5/30,19.5,8,1
2018/5/31,17.2,8,1
2018/6/1,21.3,8,1
2018/6/2,22.4,8,1
2018/6/3,22.9,8,1
2018/6/4,23.9,8,1
2018/6/5,23.6,8,1
2018/6/6,19.4,8,1
2018/6/7,22.6,8,1
2018/6/8,22.6,8,1
2018/6/9,24.1,8,1
2018/6/10,21.3,8,1
2018/6/11,24.1,8,1
2018/6/12,23.7,8,1
2018/6/13,22.7,8,1
2018/6/14,22.6,8,1
2018/6/15,21.6,8,1
2018/6/16,21.2,8,1
2018/6/17,21.8,8,1
2018/6/18,21.0,8,1
2018/6/19,23.1,8,1
2018/6/20,20.9,8,1
2018/6/21,23.3,8,1
2018/6/22,24.5,8,1
2018/6/23,20.3,8,1
2018/6/24,24.3,8,1
2018/6/25,27.4,8,1
2018/6/26,26.6,8,1
2018/6/27,27.1,8,1
2018/6/28,26.8,8,1
2018/6/29,26.4,8,1
2018/6/30,27.3,8,1
2018/7/1,27.9,8,1
2018/7/2,28.0,8,1
2018/7/3,27.2,8,1
2018/7/4,25.7,8,1
2018/7/5,24.6,8,1
2018/7/6,24.3,8,1
2018/7/7,25.5,8,1
2018/7/8,26.9,8,1
2018/7/9,27.7,8,1
2018/7/10,28.5,8,1
2018/7/11,29.7,8,1
2018/7/12,29.4,8,1
2018/7/13,29.7,8,1
2018/7/14,30.8,8,1
2018/7/15,31.2,8,1
2018/7/16,31.5,8,1
2018/7/17,31.0,8,1
2018/7/18,32.0,8,1
2018/7/19,31.0,8,1
2018/7/20,30.8,8,1
2018/7/21,30.5,8,1
2018/7/22,32.7,8,1
2018/7/23,33.3,8,1
2018/7/24,32.2,8,1
2018/7/25,30.8,8,1
2018/7/26,29.3,8,1
2018/7/27,28.4,8,1
2018/7/28,29.2,8,1
2018/7/29,28.4,8,1
2018/7/30,29.6,8,1
2018/7/31,29.9,8,1
2018/8/1,31.0,8,1
2018/8/2,33.1,8,1
